,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
2202,,,300625.SZ,,,,,,,,,,,,,,,,
2203,,,300626.SZ,,,,,,,,,,,,,,,,
2204,,,300660.SZ,,,,,,,,,,,,,,,,
2205,,,300670.SZ,,,,,,,,,,,,,,,,
2206,,,300681.SZ,,,,,,,,,,,,,,,,
2207,,,300693.SZ,,,,,,,,,,,,,,,,
2208,,,300713.SZ,,,,,,,,,,,,,,,,
2209,,,300724.SZ,,,,,,,,,,,,,,,,
2210,,,300750.SZ,,,,,,,,,,,,,,,,
2211,,,300763.SZ,,,,,,,,,,,,,,,,
2212,,,300769.SZ,,,,,,,,,,,,,,,,
2213,,,300808.SZ,,,,,,,,,,,,,,,,
2214,,,300820.SZ,,,,,,,,,,,,,,,,
2215,,,300824.SZ,,,,,,,,,,,,,,,,
2216,,,300827.SZ,,,,,,,,,,,,,,,,
2217,,,300833.SZ,,,,,,,,,,,,,,,,
2218,,,300889.SZ,,,,,,,,,,,,,,,,
2219,,,300894.SZ,,,,,,,,,,,,,,,,
2220,,,300911.SZ,,,,,,,,,,,,,,,,
2221,,,300913.SZ,,,,,,,,,,,,,,,,
2222,,,300919.SZ,,,,,,,,,,,,,,,,
2223,,,300932.SZ,,,,,,,,,,,,,,,,
2224,,,300933.SZ,,,,,,,,,,,,,,,,
2225,,,301008.SZ,,,,,,,,,,,,,,,,
2226,,,301012.SZ,,,,,,,,,,,,,,,,
2227,,,301023.SZ,,,,,,,,,,,,,,,,
2228,,,301031.SZ,,,,,,,,,,,,,,,,
2229,,,600089.SH,,,,,,,,,,,,,,,,
2230,,,600105.SH,,,,,,,,,,,,,,,,
2231,,,600112.SH,,,,,,,,,,,,,,,,
2232,,,600152.SH,,,,,,,,,,,,,,,,
2233,,,600192.SH,,,,,,,,,,,,,,,,
2234,,,600202.SH,,,,,,,,,,,,,,,,
2235,,,600241.SH,,,,,,,,,,,,,,,,
2236,,,600261.SH,,,,,,,,,,,,,,,,
2237,,,600268.SH,,,,,,,,,,,,,,,,
2238,,,600290.SH,,,,,,,,,,,,,,,,
2239,,,600312.SH,,,,,,,,,,,,,,,,
2240,,,600336.SH,,,,,,,,,,,,,,,,
2241,,,600379.SH,,,,,,,,,,,,,,,,
2242,,,600468.SH,,,,,,,,,,,,,,,,
2243,,,600478.SH,,,,,,,,,,,,,,,,
2244,,,600481.SH,,,,,,,,,,,,,,,,
2245,,,600487.SH,,,,,,,,,,,,,,,,
2246,,,600520.SH,,,,,,,,,,,,,,,,
2247,,,600522.SH,,,,,,,,,,,,,,,,
2248,,,600537.SH,,,,,,,,,,,,,,,,
2249,,,600550.SH,,,,,,,,,,,,,,,,
2250,,,600577.SH,,,,,,,,,,,,,,,,
2251,,,600580.SH,,,,,,,,,,,,,,,,
2252,,,600590.SH,,,,,,,,,,,,,,,,
2253,,,600651.SH,,,,,,,,,,,,,,,,
2254,,,600690.SH,,,,,,,,,,,,,,,,
2255,,,600732.SH,,,,,,,,,,,,,,,,
2256,,,600847.SH,,,,,,,,,,,,,,,,
2257,,,600854.SH,,,,,,,,,,,,,,,,
2258,,,600869.SH,,,,,,,,,,,,,,,,
2259,,,600884.SH,,,,,,,,,,,,,,,,
2260,,,600885.SH,,,,,,,,,,,,,,,,
2261,,,600973.SH,,,,,,,,,,,,,,,,
2262,,,600983.SH,,,,,,,,,,,,,,,,
2263,,,601012.SH,,,,,,,,,,,,,,,,
2264,,,601126.SH,,,,,,,,,,,,,,,,
2265,,,601179.SH,,,,,,,,,,,,,,,,
2266,,,601311.SH,,,,,,,,,,,,,,,,
2267,,,601369.SH,,,,,,,,,,,,,,,,
2268,,,601616.SH,,,,,,,,,,,,,,,,
2269,,,601877.SH,,,,,,,,,,,,,,,,
2270,,,603015.SH,,,,,,,,,,,,,,,,
2271,,,603016.SH,,,,,,,,,,,,,,,,
2272,,,603045.SH,,,,,,,,,,,,,,,,
2273,,,603050.SH,,,,,,,,,,,,,,,,
2274,,,603063.SH,,,,,,,,,,,,,,,,
2275,,,603105.SH,,,,,,,,,,,,,,,,
2276,,,603195.SH,,,,,,,,,,,,,,,,
2277,,,603303.SH,,,,,,,,,,,,,,,,
2278,,,603331.SH,,,,,,,,,,,,,,,,
2279,,,603333.SH,,,,,,,,,,,,,,,,
2280,,,603355.SH,,,,,,,,,,,,,,,,
2281,,,603366.SH,,,,,,,,,,,,,,,,
2282,,,603486.SH,,,,,,,,,,,,,,,,
2283,,,603488.SH,,,,,,,,,,,,,,,,
2284,,,603489.SH,,,,,,,,,,,,,,,,
2285,,,603507.SH,,,,,,,,,,,,,,,,
2286,,,603515.SH,,,,,,,,,,,,,,,,
2287,,,603519.SH,,,,,,,,,,,,,,,,
2288,,,603530.SH,,,,,,,,,,,,,,,,
2289,,,603551.SH,,,,,,,,,,,,,,,,
2290,,,603579.SH,,,,,,,,,,,,,,,,
2291,,,603583.SH,,,,,,,,,,,,,,,,
2292,,,603606.SH,,,,,,,,,,,,,,,,
2293,,,603618.SH,,,,,,,,,,,,,,,,
2294,,,603659.SH,,,,,,,,,,,,,,,,
2295,,,603677.SH,,,,,,,,,,,,,,,,
2296,,,603679.SH,,,,,,,,,,,,,,,,
2297,,,603685.SH,,,,,,,,,,,,,,,,
2298,,,603701.SH,,,,,,,,,,,,,,,,
2299,,,603703.SH,,,,,,,,,,,,,,,,
2300,,,603728.SH,,,,,,,,,,,,,,,,
2301,,,603819.SH,,,,,,,,,,,,,,,,
2302,,,603829.SH,,,,,,,,,,,,,,,,
2303,,,603861.SH,,,,,,,,,,,,,,,,
2304,,,603868.SH,,,,,,,,,,,,,,,,
2305,,,603897.SH,,,,,,,,,,,,,,,,
2306,,,603988.SH,,,,,,,,,,,,,,,,
2307,,,605066.SH,,,,,,,,,,,,,,,,
2308,,,605117.SH,,,,,,,,,,,,,,,,
2309,,,605196.SH,,,,,,,,,,,,,,,,
2310,,,605222.SH,,,,,,,,,,,,,,,,
2311,,,605277.SH,,,,,,,,,,,,,,,,
2312,,,605288.SH,,,,,,,,,,,,,,,,
2313,,,605336.SH,,,,,,,,,,,,,,,,
2314,,,605365.SH,,,,,,,,,,,,,,,,
2315,,,605378.SH,,,,,,,,,,,,,,,,
2316,,,688005.SH,,,,,,,,,,,,,,,,
2317,,,688063.SH,,,,,,,,,,,,,,,,
2318,,,688148.SH,,,,,,,,,,,,,,,,
2319,,,688169.SH,,,,,,,,,,,,,,,,
2320,,,688226.SH,,,,,,,,,,,,,,,,
2321,,,688303.SH,,,,,,,,,,,,,,,,
2322,,,688330.SH,,,,,,,,,,,,,,,,
2323,,,688339.SH,,,,,,,,,,,,,,,,
2324,,,688345.SH,,,,,,,,,,,,,,,,
2325,,,688390.SH,,,,,,,,,,,,,,,,
2326,,,688395.SH,,,,,,,,,,,,,,,,
2327,,,688408.SH,,,,,,,,,,,,,,,,
2328,,,688517.SH,,,,,,,,,,,,,,,,
2329,,,688567.SH,,,,,,,,,,,,,,,,
2330,,,688599.SH,,,,,,,,,,,,,,,,
2331,,,688611.SH,,,,,,,,,,,,,,,,
2332,,,688663.SH,,,,,,,,,,,,,,,,
2333,,,688676.SH,,,,,,,,,,,,,,,,
2334,,,688681.SH,,,,,,,,,,,,,,,,
2335,,,688778.SH,,,,,,,,,,,,,,,,
2336,,,688779.SH,,,,,,,,,,,,,,,,
2337,,,688793.SH,,,,,,,,,,,,,,,,
2338,,,688819.SH,,,,,,,,,,,,,,,,
2339,,,000016.SZ,,,,,,,,,,,,,,,,
2340,,,000020.SZ,,,,,,,,,,,,,,,,
2341,,,000021.SZ,,,,,,,,,,,,,,,,
2342,,,000045.SZ,,,,,,,,,,,,,,,,
2343,,,000050.SZ,,,,,,,,,,,,,,,,
2344,,,000063.SZ,,,,,,,,,,,,,,,,
2345,,,000066.SZ,,,,,,,,,,,,,,,,
2346,,,000100.SZ,,,,,,,,,,,,,,,,
2347,,,000413.SZ,,,,,,,,,,,,,,,,
2348,,,000536.SZ,,,,,,,,,,,,,,,,
2349,,,000547.SZ,,,,,,,,,,,,,,,,
2350,,,000561.SZ,,,,,,,,,,,,,,,,
2351,,,000586.SZ,,,,,,,,,,,,,,,,
2352,,,000636.SZ,,,,,,,,,,,,,,,,
2353,,,000687.SZ,,,,,,,,,,,,,,,,
2354,,,000725.SZ,,,,,,,,,,,,,,,,
2355,,,000727.SZ,,,,,,,,,,,,,,,,
2356,,,000733.SZ,,,,,,,,,,,,,,,,
2357,,,000801.SZ,,,,,,,,,,,,,,,,
2358,,,000810.SZ,,,,,,,,,,,,,,,,
2359,,,000823.SZ,,,,,,,,,,,,,,,,
2360,,,000938.SZ,,,,,,,,,,,,,,,,
2361,,,000970.SZ,,,,,,,,,,,,,,,,
2362,,,000977.SZ,,,,,,,,,,,,,,,,
2363,,,000988.SZ,,,,,,,,,,,,,,,,
2364,,,002017.SZ,,,,,,,,,,,,,,,,
2365,,,002025.SZ,,,,,,,,,,,,,,,,
2366,,,002036.SZ,,,,,,,,,,,,,,,,
2367,,,002045.SZ,,,,,,,,,,,,,,,,
2368,,,002049.SZ,,,,,,,,,,,,,,,,
2369,,,002052.SZ,,,,,,,,,,,,,,,,
2370,,,002055.SZ,,,,,,,,,,,,,,,,
2371,,,002077.SZ,,,,,,,,,,,,,,,,
2372,,,002079.SZ,,,,,,,,,,,,,,,,
2373,,,002089.SZ,,,,,,,,,,,,,,,,
2374,,,002104.SZ,,,,,,,,,,,,,,,,
2375,,,002106.SZ,,,,,,,,,,,,,,,,
2376,,,002119.SZ,,,,,,,,,,,,,,,,
2377,,,002130.SZ,,,,,,,,,,,,,,,,
2378,,,002134.SZ,,,,,,,,,,,,,,,,
2379,,,002137.SZ,,,,,,,,,,,,,,,,
2380,,,002138.SZ,,,,,,,,,,,,,,,,
2381,,,002151.SZ,,,,,,,,,,,,,,,,
2382,,,002156.SZ,,,,,,,,,,,,,,,,
2383,,,002161.SZ,,,,,,,,,,,,,,,,
2384,,,002179.SZ,,,,,,,,,,,,,,,,
2385,,,002180.SZ,,,,,,,,,,,,,,,,
2386,,,002185.SZ,,,,,,,,,,,,,,,,
2387,,,002189.SZ,,,,,,,,,,,,,,,,
2388,,,002194.SZ,,,,,,,,,,,,,,,,
2389,,,002199.SZ,,,,,,,,,,,,,,,,
2390,,,002214.SZ,,,,,,,,,,,,,,,,
2391,,,002217.SZ,,,,,,,,,,,,,,,,
2392,,,002222.SZ,,,,,,,,,,,,,,,,
2393,,,002231.SZ,,,,,,,,,,,,,,,,
2394,,,002236.SZ,,,,,,,,,,,,,,,,
2395,,,002241.SZ,,,,,,,,,,,,,,,,
2396,,,002273.SZ,,,,,,,,,,,,,,,,
2397,,,002281.SZ,,,,,,,,,,,,,,,,
2398,,,002288.SZ,,,,,,,,,,,,,,,,
2399,,,002289.SZ,,,,,,,,,,,,,,,,
2400,,,002296.SZ,,,,,,,,,,,,,,,,
2401,,,002308.SZ,,,,,,,,,,,,,,,,
2402,,,002313.SZ,,,,,,,,,,,,,,,,
2403,,,002351.SZ,,,,,,,,,,,,,,,,
2404,,,002362.SZ,,,,,,,,,,,,,,,,
2405,,,002369.SZ,,,,,,,,,,,,,,,,
2406,,,002376.SZ,,,,,,,,,,,,,,,,
2407,,,002383.SZ,,,,,,,,,,,,,,,,
2408,,,002384.SZ,,,,,,,,,,,,,,,,
2409,,,002387.SZ,,,,,,,,,,,,,,,,
2410,,,002388.SZ,,,,,,,,,,,,,,,,
2411,,,002389.SZ,,,,,,,,,,,,,,,,
2412,,,002396.SZ,,,,,,,,,,,,,,,,
2413,,,002402.SZ,,,,,,,,,,,,,,,,
2414,,,002413.SZ,,,,,,,,,,,,,,,,
2415,,,002414.SZ,,,,,,,,,,,,,,,,
2416,,,002415.SZ,,,,,,,,,,,,,,,,
2417,,,002426.SZ,,,,,,,,,,,,,,,,
2418,,,002429.SZ,,,,,,,,,,,,,,,,
2419,,,002436.SZ,,,,,,,,,,,,,,,,
2420,,,002446.SZ,,,,,,,,,,,,,,,,
2421,,,002449.SZ,,,,,,,,,,,,,,,,
2422,,,002456.SZ,,,,,,,,,,,,,,,,
2423,,,002463.SZ,,,,,,,,,,,,,,,,
2424,,,002465.SZ,,,,,,,,,,,,,,,,
2425,,,002475.SZ,,,,,,,,,,,,,,,,
2426,,,002484.SZ,,,,,,,,,,,,,,,,
2427,,,002506.SZ,,,,,,,,,,,,,,,,
2428,,,002512.SZ,,,,,,,,,,,,,,,,
2429,,,002519.SZ,,,,,,,,,,,,,,,,
2430,,,002528.SZ,,,,,,,,,,,,,,,,
2431,,,002577.SZ,,,,,,,,,,,,,,,,
2432,,,002579.SZ,,,,,,,,,,,,,,,,
2433,,,002583.SZ,,,,,,,,,,,,,,,,
2434,,,002587.SZ,,,,,,,,,,,,,,,,
2435,,,002600.SZ,,,,,,,,,,,,,,,,
2436,,,002618.SZ,,,,,,,,,,,,,,,,
2437,,,002635.SZ,,,,,,,,,,,,,,,,
2438,,,002636.SZ,,,,,,,,,,,,,,,,
2439,,,002655.SZ,,,,,,,,,,,,,,,,
2440,,,002660.SZ,,,,,,,,,,,,,,,,
2441,,,002681.SZ,,,,,,,,,,,,,,,,
2442,,,002729.SZ,,,,,,,,,,,,,,,,
2443,,,002766.SZ,,,,,,,,,,,,,,,,
2444,,,002782.SZ,,,,,,,,,,,,,,,,
2445,,,002792.SZ,,,,,,,,,,,,,,,,
2446,,,002796.SZ,,,,,,,,,,,,,,,,
2447,,,002806.SZ,,,,,,,,,,,,,,,,
2448,,,002813.SZ,,,,,,,,,,,,,,,,
2449,,,002815.SZ,,,,,,,,,,,,,,,,
2450,,,002829.SZ,,,,,,,,,,,,,,,,
2451,,,002835.SZ,,,,,,,,,,,,,,,,
2452,,,002841.SZ,,,,,,,,,,,,,,,,
2453,,,002845.SZ,,,,,,,,,,,,,,,,
2454,,,002848.SZ,,,,,,,,,,,,,,,,
2455,,,002855.SZ,,,,,,,,,,,,,,,,
2456,,,002859.SZ,,,,,,,,,,,,,,,,
2457,,,002861.SZ,,,,,,,,,,,,,,,,
2458,,,002866.SZ,,,,,,,,,,,,,,,,
2459,,,002869.SZ,,,,,,,,,,,,,,,,
2460,,,002876.SZ,,,,,,,,,,,,,,,,
2461,,,002881.SZ,,,,,,,,,,,,,,,,
2462,,,002885.SZ,,,,,,,,,,,,,,,,
2463,,,002888.SZ,,,,,,,,,,,,,,,,
2464,,,002897.SZ,,,,,,,,,,,,,,,,
2465,,,002902.SZ,,,,,,,,,,,,,,,,
2466,,,002906.SZ,,,,,,,,,,,,,,,,
2467,,,002913.SZ,,,,,,,,,,,,,,,,
2468,,,002916.SZ,,,,,,,,,,,,,,,,
2469,,,002925.SZ,,,,,,,,,,,,,,,,
2470,,,002935.SZ,,,,,,,,,,,,,,,,
2471,,,002937.SZ,,,,,,,,,,,,,,,,
2472,,,002938.SZ,,,,,,,,,,,,,,,,
2473,,,002947.SZ,,,,,,,,,,,,,,,,
2474,,,002952.SZ,,,,,,,,,,,,,,,,
2475,,,002955.SZ,,,,,,,,,,,,,,,,
2476,,,002960.SZ,,,,,,,,,,,,,,,,
2477,,,002962.SZ,,,,,,,,,,,,,,,,
2478,,,002972.SZ,,,,,,,,,,,,,,,,
2479,,,002977.SZ,,,,,,,,,,,,,,,,
2480,,,002981.SZ,,,,,,,,,,,,,,,,
2481,,,002983.SZ,,,,,,,,,,,,,,,,
2482,,,002992.SZ,,,,,,,,,,,,,,,,
2483,,,002993.SZ,,,,,,,,,,,,,,,,
2484,,,003015.SZ,,,,,,,,,,,,,,,,
2485,,,003019.SZ,,,,,,,,,,,,,,,,
2486,,,003026.SZ,,,,,,,,,,,,,,,,
2487,,,003028.SZ,,,,,,,,,,,,,,,,
2488,,,003031.SZ,,,,,,,,,,,,,,,,
2489,,,003040.SZ,,,,,,,,,,,,,,,,
2490,,,300042.SZ,,,,,,,,,,,,,,,,
2491,,,300045.SZ,,,,,,,,,,,,,,,,
2492,,,300046.SZ,,,,,,,,,,,,,,,,
2493,,,300053.SZ,,,,,,,,,,,,,,,,
2494,,,300065.SZ,,,,,,,,,,,,,,,,
2495,,,300076.SZ,,,,,,,,,,,,,,,,
2496,,,300077.SZ,,,,,,,,,,,,,,,,
2497,,,300078.SZ,,,,,,,,,,,,,,,,
2498,,,300079.SZ,,,,,,,,,,,,,,,,
2499,,,300088.SZ,,,,,,,,,,,,,,,,
2500,,,300101.SZ,,,,,,,,,,,,,,,,
2501,,,300102.SZ,,,,,,,,,,,,,,,,
2502,,,300114.SZ,,,,,,,,,,,,,,,,
2503,,,300115.SZ,,,,,,,,,,,,,,,,
2504,,,300120.SZ,,,,,,,,,,,,,,,,
2505,,,300127.SZ,,,,,,,,,,,,,,,,
2506,,,300128.SZ,,,,,,,,,,,,,,,,
2507,,,300134.SZ,,,,,,,,,,,,,,,,
2508,,,300136.SZ,,,,,,,,,,,,,,,,
2509,,,300139.SZ,,,,,,,,,,,,,,,,
2510,,,300155.SZ,,,,,,,,,,,,,,,,
2511,,,300162.SZ,,,,,,,,,,,,,,,,
2512,,,300177.SZ,,,,,,,,,,,,,,,,
2513,,,300205.SZ,,,,,,,,,,,,,,,,
2514,,,300211.SZ,,,,,,,,,,,,,,,,
2515,,,300213.SZ,,,,,,,,,,,,,,,,
2516,,,300219.SZ,,,,,,,,,,,,,,,,
2517,,,300220.SZ,,,,,,,,,,,,,,,,
2518,,,300223.SZ,,,,,,,,,,,,,,,,
2519,,,300227.SZ,,,,,,,,,,,,,,,,
2520,,,300232.SZ,,,,,,,,,,,,,,,,
2521,,,300241.SZ,,,,,,,,,,,,,,,,
2522,,,300256.SZ,,,,,,,,,,,,,,,,
2523,,,300270.SZ,,,,,,,,,,,,,,,,
2524,,,300282.SZ,,,,,,,,,,,,,,,,
2525,,,300296.SZ,,,,,,,,,,,,,,,,
2526,,,300301.SZ,,,,,,,,,,,,,,,,
2527,,,300303.SZ,,,,,,,,,,,,,,,,
2528,,,300308.SZ,,,,,,,,,,,,,,,,
2529,,,300319.SZ,,,,,,,,,,,,,,,,
2530,,,300322.SZ,,,,,,,,,,,,,,,,
2531,,,300323.SZ,,,,,,,,,,,,,,,,
2532,,,300327.SZ,,,,,,,,,,,,,,,,
2533,,,300331.SZ,,,,,,,,,,,,,,,,
2534,,,300346.SZ,,,,,,,,,,,,,,,,
2535,,,300351.SZ,,,,,,,,,,,,,,,,
2536,,,300353.SZ,,,,,,,,,,,,,,,,
2537,,,300367.SZ,,,,,,,,,,,,,,,,
2538,,,300373.SZ,,,,,,,,,,,,,,,,
2539,,,300389.SZ,,,,,,,,,,,,,,,,
2540,,,300390.SZ,,,,,,,,,,,,,,,,
2541,,,300393.SZ,,,,,,,,,,,,,,,,
2542,,,300394.SZ,,,,,,,,,,,,,,,,
2543,,,300397.SZ,,,,,,,,,,,,,,,,
2544,,,300408.SZ,,,,,,,,,,,,,,,,
2545,,,300414.SZ,,,,,,,,,,,,,,,,
2546,,,300433.SZ,,,,,,,,,,,,,,,,
2547,,,300449.SZ,,,,,,,,,,,,,,,,
2548,,,300455.SZ,,,,,,,,,,,,,,,,
2549,,,300456.SZ,,,,,,,,,,,,,,,,
2550,,,300458.SZ,,,,,,,,,,,,,,,,
2551,,,300460.SZ,,,,,,,,,,,,,,,,
2552,,,300474.SZ,,,,,,,,,,,,,,,,
2553,,,300476.SZ,,,,,,,,,,,,,,,,
2554,,,300479.SZ,,,,,,,,,,,,,,,,
2555,,,300502.SZ,,,,,,,,,,,,,,,,
2556,,,300504.SZ,,,,,,,,,,,,,,,,
2557,,,300514.SZ,,,,,,,,,,,,,,,,
2558,,,300516.SZ,,,,,,,,,,,,,,,,
2559,,,300531.SZ,,,,,,,,,,,,,,,,
2560,,,300543.SZ,,,,,,,,,,,,,,,,
2561,,,300546.SZ,,,,,,,,,,,,,,,,
2562,,,300548.SZ,,,,,,,,,,,,,,,,
2563,,,300555.SZ,,,,,,,,,,,,,,,,
2564,,,300563.SZ,,,,,,,,,,,,,,,,
2565,,,300565.SZ,,,,,,,,,,,,,,,,
2566,,,300566.SZ,,,,,,,,,,,,,,,,
2567,,,300570.SZ,,,,,,,,,,,,,,,,
2568,,,300581.SZ,,,,,,,,,,,,,,,,
2569,,,300582.SZ,,,,,,,,,,,,,,,,
2570,,,300590.SZ,,,,,,,,,,,,,,,,
2571,,,300602.SZ,,,,,,,,,,,,,,,,
2572,,,300615.SZ,,,,,,,,,,,,,,,,
2573,,,300620.SZ,,,,,,,,,,,,,,,,
2574,,,300623.SZ,,,,,,,,,,,,,,,,
2575,,,300627.SZ,,,,,,,,,,,,,,,,
2576,,,300628.SZ,,,,,,,,,,,,,,,,
2577,,,300629.SZ,,,,,,,,,,,,,,,,
2578,,,300632.SZ,,,,,,,,,,,,,,,,
2579,,,300638.SZ,,,,,,,,,,,,,,,,
2580,,,300647.SZ,,,,,,,,,,,,,,,,
2581,,,300656.SZ,,,,,,,,,,,,,,,,
2582,,,300657.SZ,,,,,,,,,,,,,,,,
2583,,,300661.SZ,,,,,,,,,,,,,,,,
2584,,,300666.SZ,,,,,,,,,,,,,,,,
2585,,,300672.SZ,,,,,,,,,,,,,,,,
2586,,,300679.SZ,,,,,,,,,,,,,,,,
2587,,,300686.SZ,,,,,,,,,,,,,,,,
2588,,,300689.SZ,,,,,,,,,,,,,,,,
2589,,,300691.SZ,,,,,,,,,,,,,,,,
2590,,,300698.SZ,,,,,,,,,,,,,,,,
2591,,,300701.SZ,,,,,,,,,,,,,,,,
2592,,,300708.SZ,,,,,,,,,,,,,,,,
2593,,,300709.SZ,,,,,,,,,,,,,,,,
2594,,,300710.SZ,,,,,,,,,,,,,,,,
2595,,,300711.SZ,,,,,,,,,,,,,,,,
2596,,,300726.SZ,,,,,,,,,,,,,,,,
2597,,,300735.SZ,,,,,,,,,,,,,,,,
2598,,,300739.SZ,,,,,,,,,,,,,,,,
2599,,,300743.SZ,,,,,,,,,,,,,,,,
2600,,,300747.SZ,,,,,,,,,,,,,,,,
2601,,,300752.SZ,,,,,,,,,,,,,,,,
2602,,,300762.SZ,,,,,,,,,,,,,,,,
2603,,,300782.SZ,,,,,,,,,,,,,,,,
2604,,,300787.SZ,,,,,,,,,,,,,,,,
2605,,,300790.SZ,,,,,,,,,,,,,,,,
2606,,,300793.SZ,,,,,,,,,,,,,,,,
2607,,,300802.SZ,,,,,,,,,,,,,,,,
2608,,,300807.SZ,,,,,,,,,,,,,,,,
2609,,,300811.SZ,,,,,,,,,,,,,,,,
2610,,,300814.SZ,,,,,,,,,,,,,,,,
2611,,,300822.SZ,,,,,,,,,,,,,,,,
2612,,,300831.SZ,,,,,,,,,,,,,,,,
2613,,,300835.SZ,,,,,,,,,,,,,,,,
2614,,,300842.SZ,,,,,,,,,,,,,,,,
2615,,,300843.SZ,,,,,,,,,,,,,,,,
2616,,,300847.SZ,,,,,,,,,,,,,,,,
2617,,,300852.SZ,,,,,,,,,,,,,,,,
2618,,,300857.SZ,,,,,,,,,,,,,,,,
2619,,,300866.SZ,,,,,,,,,,,,,,,,
2620,,,300870.SZ,,,,,,,,,,,,,,,,
2621,,,300884.SZ,,,,,,,,,,,,,,,,
2622,,,300903.SZ,,,,,,,,,,,,,,,,
2623,,,300909.SZ,,,,,,,,,,,,,,,,
2624,,,300916.SZ,,,,,,,,,,,,,,,,
2625,,,300936.SZ,,,,,,,,,,,,,,,,
2626,,,300939.SZ,,,,,,,,,,,,,,,,
2627,,,300940.SZ,,,,,,,,,,,,,,,,
2628,,,300951.SZ,,,,,,,,,,,,,,,,
2629,,,300956.SZ,,,,,,,,,,,,,,,,
2630,,,300964.SZ,,,,,,,,,,,,,,,,
2631,,,300965.SZ,,,,,,,,,,,,,,,,
2632,,,300968.SZ,,,,,,,,,,,,,,,,
2633,,,300976.SZ,,,,,,,,,,,,,,,,
2634,,,300991.SZ,,,,,,,,,,,,,,,,
2635,,,301002.SZ,,,,,,,,,,,,,,,,
2636,,,301041.SZ,,,,,,,,,,,,,,,,
2637,,,301042.SZ,,,,,,,,,,,,,,,,
2638,,,301045.SZ,,,,,,,,,,,,,,,,
2639,,,301050.SZ,,,,,,,,,,,,,,,,
2640,,,301051.SZ,,,,,,,,,,,,,,,,
2641,,,600060.SH,,,,,,,,,,,,,,,,
2642,,,600100.SH,,,,,,,,,,,,,,,,
2643,,,600118.SH,,,,,,,,,,,,,,,,
2644,,,600130.SH,,,,,,,,,,,,,,,,
2645,,,600151.SH,,,,,,,,,,,,,,,,
2646,,,600171.SH,,,,,,,,,,,,,,,,
2647,,,600183.SH,,,,,,,,,,,,,,,,
2648,,,600198.SH,,,,,,,,,,,,,,,,
2649,,,600203.SH,,,,,,,,,,,,,,,,
2650,,,600234.SH,,,,,,,,,,,,,,,,
2651,,,600237.SH,,,,,,,,,,,,,,,,
2652,,,600260.SH,,,,,,,,,,,,,,,,
2653,,,600271.SH,,,,,,,,,,,,,,,,
2654,,,600288.SH,,,,,,,,,,,,,,,,
2655,,,600330.SH,,,,,,,,,,,,,,,,
2656,,,600345.SH,,,,,,,,,,,,,,,,
2657,,,600353.SH,,,,,,,,,,,,,,,,
2658,,,600355.SH,,,,,,,,,,,,,,,,
2659,,,600360.SH,,,,,,,,,,,,,,,,
2660,,,600363.SH,,,,,,,,,,,,,,,,
2661,,,600405.SH,,,,,,,,,,,,,,,,
2662,,,600435.SH,,,,,,,,,,,,,,,,
2663,,,600460.SH,,,,,,,,,,,,,,,,
2664,,,600498.SH,,,,,,,,,,,,,,,,
2665,,,600525.SH,,,,,,,,,,,,,,,,
2666,,,600552.SH,,,,,,,,,,,,,,,,
2667,,,600562.SH,,,,,,,,,,,,,,,,
2668,,,600563.SH,,,,,,,,,,,,,,,,
2669,,,600584.SH,,,,,,,,,,,,,,,,
2670,,,600601.SH,,,,,,,,,,,,,,,,
2671,,,600666.SH,,,,,,,,,,,,,,,,
2672,,,600703.SH,,,,,,,,,,,,,,,,
2673,,,600707.SH,,,,,,,,,,,,,,,,
2674,,,600734.SH,,,,,,,,,,,,,,,,
2675,,,600745.SH,,,,,,,,,,,,,,,,
2676,,,600764.SH,,,,,,,,,,,,,,,,
2677,,,600775.SH,,,,,,,,,,,,,,,,
2678,,,600776.SH,,,,,,,,,,,,,,,,
2679,,,600839.SH,,,,,,,,,,,,,,,,
2680,,,600870.SH,,,,,,,,,,,,,,,,
2681,,,600877.SH,,,,,,,,,,,,,,,,
2682,,,600888.SH,,,,,,,,,,,,,,,,
2683,,,600898.SH,,,,,,,,,,,,,,,,
2684,,,600980.SH,,,,,,,,,,,,,,,,
2685,,,600990.SH,,,,,,,,,,,,,,,,
2686,,,601138.SH,,,,,,,,,,,,,,,,
2687,,,601231.SH,,,,,,,,,,,,,,,,
2688,,,601869.SH,,,,,,,,,,,,,,,,
2689,,,603002.SH,,,,,,,,,,,,,,,,
2690,,,603005.SH,,,,,,,,,,,,,,,,
2691,,,603019.SH,,,,,,,,,,,,,,,,
2692,,,603023.SH,,,,,,,,,,,,,,,,
2693,,,603025.SH,,,,,,,,,,,,,,,,
2694,,,603042.SH,,,,,,,,,,,,,,,,
2695,,,603068.SH,,,,,,,,,,,,,,,,
2696,,,603083.SH,,,,,,,,,,,,,,,,
2697,,,603106.SH,,,,,,,,,,,,,,,,
2698,,,603115.SH,,,,,,,,,,,,,,,,
2699,,,603118.SH,,,,,,,,,,,,,,,,
